Coluna A (arquivo),Coluna B (classe),Coluna C (dispositivo),Coluna D (iluminacao),Coluna E (angulo)
img001_original.jpeg,3DS,Smartphone Motorola g73,Luz ambiente acesa,Frontal
img002_original.jpeg,3DS,Smartphone Motorola g73,Luz ambiente acesa,Perfil
img003_original.jpeg,3DS,Smartphone Motorola g73,Luz apagada (quarto escuro),Frontal
img004_original.jpeg,3DS,Smartphone Motorola g73,Luz ambiente acesa,Traseiro
img005_original.jpeg,3DS,Smartphone Motorola g73,Luz ambiente acesa,Isometrico
img006_original.jpeg,PSP,Smartphone Motorola g73,Luz ambiente acesa,Frontal
img007_original.jpeg,PSP,Smartphone Motorola g73,Luz ambiente acesa,Perfil
img008_original.jpeg,PSP,Smartphone Motorola g73,Luz apagada (quarto escuro),Frontal
img009_original.jpeg,PSP,Smartphone Motorola g73,Luz ambiente acesa,traseiro
img0010_original.jpeg,PSP,Smartphone Motorola g73,Luz ambiente acesa,Isometrico
